"Interest","Inflation","InflationChange","InterestChange"
3.19,2.8,-0.0999999999999996,-0.04
3.15,2.7,0,-0.0800000000000001
3.07,2.7,-0.2,-0.22
2.85,2.5,0,0.4
3.25,2.5,0,0.0600000000000001
3.31,2.5,-0.1,0.33
3.64,2.4,-0.1,0.0899999999999999
3.73,2.3,0.2,0.6
4.33,2.5,0.3,-0.51
3.82,2.8,0.1,0.52
4.34,2.9,0.1,0.42
4.76,3,-0.4,0.680000000000001
5.44,2.6,0.1,-0.680000000000001
4.76,2.7,0,0.73
5.49,2.7,0.0999999999999996,-0.55
4.94,2.8,0.1,0.31
5.25,2.9,0,0.31
5.56,2.9,0.2,0.74
6.3,3.1,0.1,-0.2
6.1,3.2,-0.2,-0.0599999999999996
6.04,3,-0.2,0.0700000000000003
6.11,2.8,-0.2,-0.56
5.55,2.6,-0.1,0.17
5.72,2.5,0.3,0.48
6.2,2.8,-0.2,-0.44
5.76,2.6,-0.1,-0.2
5.56,2.5,0.2,-0.829999999999999
4.73,2.7,0,0.539999999999999
5.27,2.7,0.0999999999999996,0.54
5.81,2.8,0.1,-0.279999999999999
5.53,2.9,0,-0.12
5.41,2.9,-0.1,-0.100000000000001
5.31,2.8,0.2,2.49
7.8,3,-0.1,-1.51
6.29,2.9,0.1,-1.01
5.28,3,0,0.25
5.53,3,0.3,-0.34
5.19,3.3,0,0.25
5.44,3.3,-0.3,0.819999999999999
6.26,3,0,-0.89
5.37,3,-0.2,0.13
5.5,2.8,-0.3,0.68
6.18,2.5,-0.3,-0.449999999999999
5.73,2.2,0.0999999999999996,-0.15
5.58,2.3,-0.0999999999999996,0.66
6.24,2.2,0,-0.59
5.65,2.2,0,-0.130000000000001
5.52,2.2,-0.1,0.130000000000001
5.65,2.1,-0.3,-0.0900000000000007
5.56,1.8,-0.1,0.36
5.92,1.7,-0.0999999999999999,-0.0800000000000001
5.84,1.6,-0.2,-0.359999999999999
5.48,1.4,0,0.0899999999999999
5.57,1.4,0,0.149999999999999
5.72,1.4,0.3,-0.26
5.46,1.7,0,0.33
5.79,1.7,0,0.56
6.35,1.7,-0.0999999999999999,-0.72
5.63,1.6,-0.1,0.12
5.75,1.5,0,-0.0199999999999996
5.73,1.5,0,-0.380000000000001
5.35,1.5,0.1,-0.529999999999999
4.82,1.6,0.0999999999999999,-0.75
4.07,1.7,-0.0999999999999999,0.79
4.86,1.6,0.0999999999999999,0.239999999999999
5.1,1.7,0.6,0.31
5.41,2.3,-0.2,-0.38
5.03,2.1,-0.1,-0.25
4.78,2,0.1,0.98
5.76,2.1,0.2,-0.69
5.07,2.3,0.3,0.34
5.41,2.6,0,-0.15
5.26,2.6,0,0.12
5.38,2.6,0.1,0.33
5.71,2.7,0,-1.72
3.99,2.7,0.5,1.8
5.79,3.2,0.6,-0.00999999999999979
5.78,3.8,-0.7,0.39
6.17,3.1,0.1,0
6.17,3.2,0.5,0.48
6.65,3.7,0,0.21
6.86,3.7,-0.3,-0.350000000000001
6.51,3.4,0.1,0.00999999999999979
6.52,3.5,-0.1,0.0800000000000001
6.6,3.4,0,0.0100000000000007
6.61,3.4,0,-0.0100000000000007
6.6,3.4,0.3,-1.19
5.41,3.7,-0.2,0.16
5.57,3.5,-0.6,0.0199999999999996
5.59,2.9,0.4,-0.3
5.29,3.3,0.3,-0.68
4.61,3.6,-0.4,-0.470000000000001
4.14,3.2,-0.5,-0.19
3.95,2.7,0,-0.16
3.79,2.7,-0.1,-0.13
3.66,2.6,-0.5,-0.64
3.02,2.1,-0.2,-0.41
2.61,1.9,-0.3,-0.55
2.06,1.6,-0.5,-0.54
1.52,1.1,0,0.25
1.77,1.1,0.4,0.01
1.78,1.5,0.1,0.0999999999999999
1.88,1.6,-0.4,0
1.88,1.2,-0.0999999999999999,-0.0899999999999999
1.79,1.1,0.4,0.04
1.83,1.5,0.3,-0.04
1.79,1.8,-0.3,0.02
1.81,1.5,0.5,0.04
1.85,2,0.2,-0.11
1.74,2.2,0.2,-0.51
1.23,2.4,0.2,-0.0700000000000001
1.16,2.6,0.4,0.17
1.33,3,0,0
1.33,3,-0.8,-0.04
1.29,2.2,-0.1,0.01
1.3,2.1,0,-0.02
1.28,2.1,0,-0.17
1.11,2.1,0.1,-0.11
1,2.2,0.0999999999999996,0.01
1.01,2.3,-0.3,0.1
1.11,2,-0.2,-0.0800000000000001
1.03,1.8,0.0999999999999999,0
1.03,1.9,0,-0.0900000000000001
0.94,1.9,-0.2,0.0900000000000001
1.03,1.7,0,0.01
1.04,1.7,0.6,-0.01
1.03,2.3,0.8,0
1.03,3.1,0.2,-0.01
1.02,3.3,-0.3,0.38
1.4,3,-0.3,-0.11
1.29,2.7,-0.2,0.24
1.53,2.5,0.7,0.33
1.86,3.2,0.3,-0.03
1.83,3.5,-0.2,0.21
2.04,3.3,-0.3,-0.0700000000000001
1.97,3,0,0.43
2.4,3,0.1,-0.00999999999999979
2.39,3.1,0.4,0.44
2.83,3.5,-0.7,0.14
2.97,2.8,-0.3,0.0499999999999998
3.02,2.5,0.7,0.34
3.36,3.2,0.4,-0.0600000000000001
3.3,3.6,1.1,0.27
3.57,4.7,-0.4,0.36
3.93,4.3,-0.8,0.0600000000000001
3.99,3.5,-0.1,0.04
4.03,3.4,0.6,0.0599999999999996
4.09,4,-0.4,0.38
4.47,3.6,-0.2,0.0499999999999998
4.52,3.4,0.1,0.48
5,3.5,0.7,-0.16
4.84,4.2,0.0999999999999996,0.18
5.02,4.3,-0.2,0.0300000000000002
5.05,4.1,-0.3,0.22
5.27,3.8,-1.7,-0.0199999999999996
5.25,2.1,-0.8,0.0899999999999999
5.34,1.3,0.7,-0.109999999999999
5.23,2,0.5,0.0399999999999991
5.27,2.5,-0.4,-0.0999999999999996
5.17,2.1,0.3,0.12
5.29,2.4,0.4,0.0199999999999996
5.31,2.8,-0.2,-0.00999999999999979
5.3,2.6,0.1,-0.04
5.26,2.7,0,-0.0299999999999994
5.23,2.7,-0.3,0.0799999999999992
5.31,2.4,-0.4,-0.00999999999999979
5.3,2,0.8,-0.34
4.96,2.8,0.7,-0.04
4.92,3.5,0.8,-0.33
4.59,4.3,-0.2,0.0700000000000003
4.66,4.1,0.2,-1.6
3.06,4.3,-0.3,0.0600000000000001
3.12,4,0,-0.11
3.01,4,-0.1,-0.63
2.38,3.9,0.3,-0.22
2.16,4.2,0.8,-0.18
1.98,5,0.6,0.13
2.11,5.6,-0.199999999999999,-0.0699999999999998
2.04,5.4,-0.5,-0.1
1.94,4.9,-1.2,-0.79
1.15,3.7,-2.6,-0.93
0.22,1.1,-1,0.3
0.52,0.1,-0.1,-0.38
0.14,0,0.2,0.09
0.23,0.2,-0.6,-0.01
0.22,-0.4,-0.3,-0.06
0.16,-0.7,-0.6,0.06
0.22,-1.3,-0.0999999999999999,-0.01
0.21,-1.4,-0.7,-0.00999999999999998
0.2,-2.1,0.6,-0.02
0.18,-1.5,0.2,-0.03
0.15,-1.3,1.1,-0.04
0.11,-0.2,2,0
0.11,1.8,0.9,0.02
0.13,2.7,-0.1,-0.08
0.05,2.6,-0.5,0.09
0.14,2.1,0.2,0
0.14,2.3,-0.0999999999999996,0.03
0.17,2.2,-0.2,0.03
0.2,2,-0.9,0
0.2,1.1,0.0999999999999999,-0.03
0.17,1.2,-0.0999999999999999,0.00999999999999998
0.18,1.1,0,0.01
0.19,1.1,0.0999999999999999,0.01
0.2,1.2,-0.0999999999999999,0
0.2,1.1,0.4,0
0.2,1.5,0.1,-0.07
0.13,1.6,0.5,0.05
0.18,2.1,0.6,-0.03
0.15,2.7,0.5,-0.04
0.11,3.2,0.4,-0.02
0.09,3.6,0,0.01
0.1,3.6,0,-0.02
0.08,3.6,0.2,0.09
0.17,3.8,0.1,-0.09
0.08,3.9,-0.4,-0.02
0.06,3.5,-0.1,0.02
0.08,3.4,-0.4,0
0.08,3,-0.1,-0.04
0.04,2.9,0,0.07
0.11,2.9,-0.2,0
0.11,2.7,-0.4,-0.02
0.09,2.3,-0.6,0.07
0.16,1.7,0,0
0.16,1.7,-0.3,-0.07
0.09,1.4,0.3,0.05
0.14,1.7,0.3,-0.01
0.13,2,0.2,0.02
0.15,2.2,-0.4,0.02
0.17,1.8,-0.1,-0.01
0.16,1.7,-0.0999999999999999,-0.07
0.09,1.6,0.4,0.05
0.14,2,-0.5,0
0.14,1.5,-0.4,0.02
0.16,1.1,0.3,-0.02
0.14,1.4,0.4,-0.05
0.09,1.8,0.2,0.01
0.1,2,-0.5,-0.02
0.08,1.5,-0.3,-0.01
0.07,1.2,-0.2,0.01
0.08,1,0.2,0
0.08,1.2,0.3,-0.01
0.07,1.5,0.1,0
0.07,1.6,-0.5,0
0.07,1.1,0.4,-0.01
0.06,1.5,0.5,0.02
0.08,2,0.1,0.01
0.09,2.1,0,-0.01
0.08,2.1,-0.1,0.02
0.1,2,-0.3,-0.01
0.09,1.7,0,-0.02
0.07,1.7,0,0.02
0.09,1.7,-0.4,-0.02
0.07,1.3,-0.5,0.06
0.13,0.8,-0.9,-0.07
0.06,-0.1,0.1,0
0.06,0,-0.1,0
0.06,-0.1,-0.1,0.06
0.12,-0.2,0.2,0.01
0.13,0,0.1,-0.01
0.12,0.1,0.1,0.01
0.13,0.2,0,-0.05
0.08,0.2,-0.2,0.06
0.14,0,0.2,-0.01
0.13,0.2,0.3,-0.06
0.07,0.5,0.2,0.06
0.13,0.7,0.7,0.07
0.2,1.4,-0.4,0.18
0.38,1,-0.1,-0.02
0.36,0.9,0.2,0.01
0.37,1.1,-0.1,-0.07
0.3,1,0,0.07
0.37,1,-0.2,0.04
0.41,0.8,0.3,-0.00999999999999995
0.4,1.1,0.4,0
0.4,1.5,0.1,-0.11
0.29,1.6,0.0999999999999999,0.12
0.41,1.7,0.4,0
0.41,2.1,0.4,0.14
0.55,2.5,0.2,0.11
0.66,2.7,-0.3,0
0.66,2.4,-0.2,0.16
0.82,2.2,-0.3,0.0900000000000001
0.91,1.9,-0.3,0
0.91,1.6,0.0999999999999999,0.15
1.06,1.7,0.2,0.0999999999999999
1.16,1.9,0.3,0
1.16,2.2,-0.2,-0.0999999999999999
1.06,2,0.2,0.0999999999999999
1.16,2.2,-0.1,0
